Rank,Name,State,Type,Av. Grant Aid,Av. Debt,Median 10-year Salary,Financial Grade
367,Morehouse College,GA,Private not-for-profit,"$13,577","$8,374","$124,200",B
368,University of Michigan-Dearborn,MI,Public,"$10,761","$5,720","$117,800",
369,"California State University, East Bay",CA,Public,"$8,659","$5,669","$121,000",
370,Drew University,NJ,Private not-for-profit,"$31,901","$9,988","$117,200",D
371,University of New Hampshire,NH,Public,"$13,573","$10,862","$118,800",
372,Siena College,NY,Private not-for-profit,"$29,952","$9,340","$122,600",C
373,Concordia College—Moorhead,MN,Private not-for-profit,"$17,756","$10,219","$97,700",C+
374,Central Connecticut State University,CT,Public,"$6,212","$6,772","$109,800",
375,Milwaukee School of Engineering,WI,Private not-for-profit,"$31,850","$7,464","$135,100",C
376,Missouri State University,MO,Public,"$8,049","$7,209","$106,400",
377,"University of Minnesota, Duluth",MN,Public,"$7,345","$9,247","$117,300",
378,"California State University, Channel Islands",CA,Public,"$9,412","$5,440","$109,200",
379,Saint Joseph's University (PA),PA,Private not-for-profit,"$29,822","$9,723","$124,600",C
380,LIU Post,NY,Private not-for-profit,"$27,862","$7,749","$119,100",C
381,South Dakota State University,SD,Public,"$4,551","$7,998","$104,000",
382,"SUNY, College at New Paltz",NY,Public,"$7,749","$6,619","$99,600",
383,Presbyterian College,SC,Private not-for-profit,"$34,379","$7,610","$100,200",C-
384,Texas Woman's University,TX,Public,"$9,790","$5,750","$94,500",
385,Berklee College of Music,MA,Private not-for-profit,"$19,300","$17,737","$109,600",C+
386,Montclair State University,NJ,Public,"$11,771","$7,904","$118,400",
387,Dominican University of California,CA,Private not-for-profit,"$17,194","$4,151","$103,400",D
388,University of New Mexico,NM,Public,"$9,280","$5,724","$111,400",
389,Point Loma Nazarene University,CA,Private not-for-profit,"$19,422","$7,511","$116,100",C+
390,Bennington College,VT,Private not-for-profit,"$49,183","$6,846","$109,700",D
391,St. Catherine University,MN,Private not-for-profit,"$37,012","$6,857","$99,900",C+
392,Ursinus College,PA,Private not-for-profit,"$40,075","$10,636","$131,400",C-
393,Oregon Institute of Technology,OR,Public,"$8,302","$6,402","$121,300",
394,Illinois Wesleyan University,IL,Private not-for-profit,"$36,614","$8,859","$119,500",B
395,California Lutheran University,CA,Private not-for-profit,"$30,597","$7,577","$122,000",C
396,Manhattanville College,NY,Private not-for-profit,"$27,843","$8,273","$115,100",D
397,Florida Agricultural and Mechanical University,FL,Public,"$12,191","$5,747","$96,900",
398,University of Wisconsin-Platteville,WI,Public,"$4,866","$6,522","$117,000",
399,University of Scranton,PA,Private not-for-profit,"$30,218","$10,565","$117,300",C
400,Loyola University New Orleans,LA,Private not-for-profit,"$35,604","$6,516","$106,000",C
401,SUNY Polytechnic Institute,NY,Public,"$9,497","$6,522","$108,900",
402,"CUNY, John Jay College of Criminal Justice",NY,Public,"$9,043","$11,622","$99,900",
403,Linfield University,OR,Private not-for-profit,"$29,744","$9,184","$115,100",C
404,Middle Tennessee State University,TN,Public,"$9,421","$5,944","$95,700",
405,Fairfield University,CT,Private not-for-profit,"$25,279","$9,262","$144,800",C
406,Hampden-Sydney College,VA,Private not-for-profit,"$36,954","$8,643","$138,500",B-
407,The University of Tennessee-Chattanooga,TN,Public,"$9,309","$6,850","$100,800",
408,Central Michigan University,MI,Public,"$11,314","$7,099","$97,200",
409,William Paterson University of New Jersey,NJ,Public,"$10,919","$6,173","$108,600",
410,South Dakota School of Mines and Technology,SD,Public,"$5,431","$7,854","$131,500",
411,University of Wisconsin-Oshkosh,WI,Public,"$4,450","$6,250","$99,800",
412,Niagara University,NY,Private not-for-profit,"$29,898","$8,860","$98,900",D
413,Maine Maritime Academy,ME,Public,"$9,358","$12,526","$143,100",
414,Emerson College,MA,Private not-for-profit,"$24,360","$12,551","$117,100",C
415,Seattle Pacific University,WA,Private not-for-profit,"$25,359","$6,894","$126,100",C
416,Maryland Institute College of Art,MD,Private not-for-profit,"$25,767","$9,965","$99,300",C-
417,College of Wooster,OH,Private not-for-profit,"$42,315","$6,703","$120,700",B-
418,New Mexico State University,NM,Public,"$13,168","$4,431","$110,700",
419,"University of Puerto Rico, Mayaguez",PR,Public,"$8,087","$3,472","$129,700",
420,Stetson University,FL,Private not-for-profit,"$42,150","$8,121","$109,500",C
421,Sam Houston State University,TX,Public,"$10,499","$5,658","$107,000",
422,Stonehill College,MA,Private not-for-profit,"$34,710","$8,547","$126,600",B-
423,Oakland University,MI,Public,"$9,755","$5,672","$110,900",
424,Kean University,NJ,Public,"$13,123","$6,569","$101,400",
425,"California State University, San Bernardino",CA,Public,"$9,871","$4,827","$101,200",
426,Rowan University,NJ,Public,"$11,246","$9,044","$107,400",
427,Saint Cloud State University,MN,Public,"$6,042","$8,170","$109,000",
428,University of Memphis,TN,Public,"$9,625","$5,886","$97,300",
428,University of Dallas,TX,Private not-for-profit,"$36,231","$7,796","$124,300",C
430,Washington & Jefferson College,PA,Private not-for-profit,"$38,963","$7,761","$117,500",C-
431,New York Institute of Technology,NY,Private not-for-profit,"$30,398","$6,530","$119,200",C
432,Dordt University,IA,Private not-for-profit,"$21,920","$9,946","$103,600",B-
433,Emmanuel College,MA,Private not-for-profit,"$29,956","$9,663","$107,900",D
434,North Carolina A&T State University,NC,Public,"$10,082","$6,617","$111,700",
435,"University of Florida, Online",FL,Public,"$6,997","$5,756",,
436,SUNY at Purchase College,NY,Public,"$10,312","$6,613","$110,800",
437,St. Edward's University,TX,Private not-for-profit,"$38,787","$8,160","$115,500",D
438,Massachusetts Maritime Academy,MA,Public,"$11,804","$10,859","$132,600",
439,"SUNY, College of Environmental Science and Forestry",NY,Public,"$8,713","$7,196","$104,800",
440,Willamette University,OR,Private not-for-profit,"$27,700","$7,750","$127,300",C+
441,"University of Missouri, Saint Louis",MO,Public,"$12,205","$6,118","$101,900",
442,University of St. Thomas (TX),TX,Private not-for-profit,"$23,181","$6,194","$107,300",C
443,Marist College,NY,Private not-for-profit,"$22,904","$8,839","$125,100",C+
444,"University of Wisconsin, La Crosse",WI,Public,"$3,395","$6,861","$105,600",
445,Goucher College,MD,Private not-for-profit,"$35,187","$8,035","$112,900",C+
446,University of Wisconsin-River Falls,WI,Public,"$4,489","$7,028","$94,900",
447,Augustana College,IL,Private not-for-profit,"$34,946","$8,033","$121,000",C
448,Fairleigh Dickinson University-Florham Campus,NJ,Private not-for-profit,"$28,436","$8,747","$118,500",
449,University of Maryland Global Campus,MD,Public,"$4,213","$6,102","$115,100",
450,Duquesne University,PA,Private not-for-profit,"$26,800","$13,104","$116,100",C+
451,Saint Michael's College,VT,Private not-for-profit,"$37,162","$12,115","$117,200",C
452,Rollins College,FL,Private not-for-profit,"$35,837","$7,794","$103,500",B-
453,Agnes Scott College,GA,Private not-for-profit,"$34,267","$7,909","$99,400",B+
454,Allegheny College,PA,Private not-for-profit,"$42,599","$9,085","$119,000",C+
455,Northwood University,MI,Private not-for-profit,"$20,925","$7,652","$102,700",C+
456,Berea College,KY,Private not-for-profit,"$55,298","$2,559","$81,600",A
457,Louisiana Tech University,LA,Public,"$12,577","$5,947","$112,800",
458,Beloit College,WI,Private not-for-profit,"$46,725","$6,892","$105,000",B-
459,Menlo College,CA,Private not-for-profit,"$34,632","$6,460","$135,000",B+
460,Washington College,MD,Private not-for-profit,"$35,683","$7,659","$103,400",B
461,Weber State University,UT,Public,"$5,831","$5,693","$108,100",
462,Austin College,TX,Private not-for-profit,"$33,033","$8,486","$99,400",C+
463,Georgia Southern University,GA,Public,"$8,806","$6,469","$103,400",
464,Pittsburg State University,KS,Public,"$3,070","$3,197","$101,000",
465,Simmons University,MA,Private not-for-profit,"$36,606","$8,393","$107,600",D
466,Alma College,MI,Private not-for-profit,"$34,736","$9,882","$114,700",C
467,Concordia University-Wisconsin,WI,Private not-for-profit,"$23,477","$8,213","$95,400",C+
468,Hampton University,VA,Private not-for-profit,"$13,710","$12,966","$108,400",B+
469,College of Saint Benedict,MN,Private not-for-profit,"$37,252","$10,148","$106,000",C
470,University of South Dakota,SD,Public,"$6,308","$7,340","$105,200",
471,Grove City College,PA,Private not-for-profit,"$8,020","$14,541","$121,200",B
472,Valparaiso University,IN,Private not-for-profit,"$34,706","$8,025","$112,400",C
473,Lawrence University,WI,Private not-for-profit,"$40,089","$7,322","$126,900",B-
474,Woodbury University,CA,Private not-for-profit,"$23,816","$6,252","$112,200",D
475,Gordon College,MA,Private not-for-profit,"$15,181","$5,652","$113,200",C
476,Loras College,IA,Private not-for-profit,"$25,538","$8,092","$114,900",C
477,Eastern Illinois University,IL,Public,"$11,773","$6,041","$101,200",
478,Wagner College,NY,Private not-for-profit,"$34,485","$9,443","$129,100",C
479,University of Management and Technology,VA,Private for-profit,"$4,050",,,
480,Central College,IA,Private not-for-profit,"$10,999","$8,126","$107,200",C-
481,Grand Valley State University,MI,Public,"$8,811","$6,572","$98,500",
482,"University of North Carolina, Wilmington",NC,Public,"$6,217","$8,040","$99,300",
483,Wichita State University,KS,Public,"$7,110","$8,200","$100,500",
484,Cleveland State University,OH,Public,"$9,436","$5,999","$101,000",
485,Mount St. Mary's University (MD),MD,Private not-for-profit,"$36,155","$9,136","$116,400",C
486,Manhattan School of Music,NY,Private not-for-profit,"$21,335","$6,386",,C-
487,Georgia College & State University,GA,Public,"$8,610","$6,446","$93,700",
488,University of Puerto Rico-Humacao,PR,Public,"$7,826","$3,333",,
489,Montana Tech of the University of Montana,MT,Public,"$5,917","$5,686","$121,700",
490,Lewis University,IL,Private not-for-profit,"$26,423","$8,377","$105,900",C
491,Lake Forest College,IL,Private not-for-profit,"$37,907","$7,013","$122,700",C-
492,Hanover College,IN,Private not-for-profit,"$28,650","$2,452","$99,900",C+
493,University of Baltimore,MD,Public,"$7,544","$5,118","$100,400",
494,University of New Orleans,LA,Public,"$10,260","$5,499","$107,400",
495,"University of Nebraska, Omaha",NE,Public,"$8,180","$5,904","$104,300",
496,Molloy College,NY,Private not-for-profit,"$20,822","$7,387","$106,100",D
497,"University of Colorado, Denver",CO,Public,"$9,384","$6,942","$115,000",
498,Saint Mary's University of Minnesota,MN,Private not-for-profit,"$30,091","$9,101","$109,000",C-
499,Thomas Jefferson University,PA,Private not-for-profit,"$32,486","$7,588","$107,500",A-
500,"University of Houston, Clear Lake",TX,Public,"$16,973","$5,035","$113,800",
